movieID	movieTitle	genres	rating
325	Sae-yi yaeseu (2001)	Crime, Drama, Romance	5.6
326	Sub terra (2003)	Drama, Romance	6.6
327	El sueño de una noche de San Juan (2005)	Adventure, Animation, Drama	5.5
328	Hell to Pay (2006)	NO DATA	NO DATA
329	Krestonosets (1995)	Action	4.4
330	The Crusaders (2004)	NO DATA	7
331	Timmy Muldoon and the Search for the Shadoweyes Bandit (2013)	Adventure, Comedy, Crime	7
332	An Actor's Look at John Cassavetes (2000)	Documentary, Short	NO DATA
333	Perfect World (1997)	NO DATA	NO DATA
334	The Boys Are Back (2009)	Comedy	7.5
335	Thr3e (2007)	Drama, Horror, Mystery	5.1
336	Izzat (2005)	NO DATA	6.3
337	Terminal Invasion (2002)	Action, Mystery, Sci-Fi	5
338	Nain souruzu (2003)	Adventure, Comedy, Crime	7.3
339	L'annulaire (2005)	Drama	6.2
340	Unmei janai hito (2006)	Comedy, Drama, Romance	7.8
341	Xiang ri kui (2007)	Drama, Romance	7.2
342	Rubber's Lover (1996)	Horror, Sci-Fi	6.4
343	The Watsons Go to Birmingham (2013)	Family, History	6.5
344	Les Apaches (2013)	Comedy, Short	5.6
345	Abracadaver! (2008)	Horror, Short	5.4
346	Dinosaur Island (2014)	Adventure, Comedy, Fantasy	3.5
347	"Austin & Ally" Mysteries & Meddling Kids (2015)	NO DATA	NO DATA
348	Rush Hour 2 (2001)	Action, Comedy, Crime	6.6
349	Littleman (2006)	Comedy, Crime	4.3
350	2 Fast 2 Furious (2003)	Action, Crime, Thriller	5.9
351	Tais-toi! (2003)	Comedy, Crime	7.2
352	Te wu mi cheng (2001)	Action, Comedy, Crime	5.9
353	12 (2007)	Comedy, Music	7.5
354	Ocean's Twelve (2004)	Crime, Thriller	6.5
355	Forget Paris (1995)	Comedy, Romance	6.4
356	Manam (2014)	Comedy, Drama, Fantasy	8.1
357	De l'autre côté du périph (2012)	Documentary	7.4
358	Need for Speed (2014)	Adventure, Family	NO DATA
359	Yeong-hwa-neun yeong-hwa-da (2008)	Action	7.2
360	La herencia Valdemar (2010)	Horror, Mystery	5.6
361	Hotel Noir (2012)	Crime, Drama, Romance	5.6
362	History Is Made at Night (1999)	Drama, Romance	7.4
363	Ishkq in Paris (2013)	Comedy, Romance	4.1
364	Inspiración (2001)	Short	NO DATA
365	Bufo & Spallanzani (2001)	Crime, Horror, Mystery	7
366	Sing yuet tung wa (1999)	Crime, Drama, Romance	6.3
367	Yi sheng tan xi (2000)	Drama, Family, Romance	7.1
368	Mauvais genres (2001)	Drama	5.6
369	Opinberun Hannesar (2003)	Comedy, Drama	2.1
370	Mistyfikacja (2010)	Drama, Mystery, Thriller	5.5
371	Chae-po-wang (2011)	Action, Comedy	6.1
372	Ji su tian shi (2011)	Action	4.3
373	Hello Darling (2010)	Comedy, Crime, Drama	NO DATA
374	Rise of the Footsoldier (2007)	Action, Biography, Crime	6.9
375	Room 237 (2012)	Documentary	6.2
376	Tom yum goong (2006)	Action, Crime, Drama	7.1
377	Crimen ferpecto (2004)	Comedy, Crime, Thriller	7.1
378	Ill Manors (2012)	Crime, Drama	7.1
379	Garam Masala (2005)	Action, Comedy, Musical	6.1
380	Tsumetai nettaigyo (2011)	Comedy, Crime, Drama	7.1
381	7 Aum Arivu (2011)	Action, Sci-Fi, Thriller	6.1
382	Bluffmaster! (2005)	Comedy, Crime, Drama	6.7
383	Homecoming (2009)	Drama, Romance, War	6.8
384	R... Rajkumar (2013)	Action	5.2
385	Taxi 3 (2003)	Action, Comedy, Crime	5.8
386	Ask Tutulmasi (2008)	Comedy, Romance	5.7
387	Say It Isn't So (2001)	Comedy, Romance	4.9
388	Frostbite (2005)	Short	5.4
389	Chi ming yu chun giu (2010)	NO DATA	NO DATA
390	Che sau (2012)	Action, Crime, Drama	5.9
391	Akunin (2010)	Crime, Drama, Romance	7.2
392	Portret v sumerkakh (2011)	Drama	6.5
393	Room to Rent (2001)	Comedy	6.3
394	Badshahi Angti (2014)	Mystery, Thriller	6.5
395	The Movie Out Here (2013)	Comedy	4.4
396	Lat sau wui cheun (2000)	Comedy	5.9
397	Meeletu (2007)	Comedy	7.2
398	Pojedeme k mori (2014)	Comedy, Drama, Family	6.9
399	Shou shen (2005)	Crime, Mystery, Thriller	4.9
400	Snitch (2013)	Crime, Drama, Thriller	6.7
401	De caravana (2011)	Adventure	6.8
402	Catholic Ghoulgirls (2005)	Action, Comedy, Horror	2.4
403	Yo soy sola (2008)	Comedy, Drama	5.6
404	Taxi (2004)	Drama, Romance	7.8
405	Blood Ties (2013)	Horror, Thriller	5.2
406	Anche libero va bene (2006)	Drama	7.5
407	Bu er shen tan (2013)	Action, Comedy, Crime	4.7
408	The Phantom (1996)	Crime, Drama	NO DATA
409	Open Windows (2014)	Documentary, Short	NO DATA
410	Fifty Dead Men Walking (2009)	Crime, Drama, Thriller	6.9
411	Treasure Guards (2011)	Adventure	4.6
412	Broken City (2013)	Action, Crime, Drama	6.2
413	Bangkok Haunted (2001)	Horror, Mystery	5.1
414	Yeh Raaste Hain Pyaar Ke (2001)	Drama, Romance	4
415	Sinav (2006)	Comedy, Drama	6.5
416	Kempe Gowda (2011)	Action, Crime, Thriller	7
417	2424 (2002)	Action, Comedy	5
418	Nae yeojachingureul sogae habnida (2004)	Comedy, Crime, Drama	7.3
419	The Lookout (2007)	Crime, Drama, Thriller	7.1
420	Besharam (2013)	Action, Drama	6.2
421	Cavemen (2015)	Animation, Comedy, Sci-Fi	6.5
422	Tau man ji D (2005)	Action, Comedy, Drama	6.4
423	Caterina va in città (2003)	Comedy, Drama	6.9
424	Beck (1997)	Drama	7.1
425	Sebeun deijeu (2007)	Crime, Thriller	6.8
426	Kachche Dhaage (1999)	Action, Drama, Romance	6
427	Raghs dar ghobar (2003)	Drama	7.1
428	When the Sky Falls (2000)	Biography, Crime, Drama	6.6
429	Me and You and Everyone We Know (2005)	Comedy, Drama	7.3
430	Shuang shi ji (2008)	Drama, Mystery	6.3
431	Crocodile Dundee in Los Angeles (2001)	Adventure, Comedy, Crime	4.8
432	The Body (2001)	Documentary	8.3
433	Polisse (2011)	Crime, Drama	7.3
434	My Dog Tulip (2011)	Animation, Drama	6.9
435	Gente decente (2004)	Drama	3.8
436	Mankatha (2011)	Action, Comedy, Crime	7.6
437	Dirty Little Trick (2011)	Crime, Thriller	3.6
438	Rookie Blue (2010)	Crime, Drama	7.7
439	Jing xin dong po (2004)	Mystery, Thriller	5
440	Amber Alert (2012)	Comedy	NO DATA
441	The Astonishing Ashtons (1999)	NO DATA	NO DATA
442	Lailaa O Lailaa (2015)	Action, Thriller	3.1
443	Carry on Jatta (2012)	Comedy	8.3
444	Mere Brother Ki Dulhan (2011)	Comedy, Family, Romance	5.9
445	Shrink (2009)	Comedy, Short	5.7
446	O Convento (1995)	Drama, Mystery	5.9
447	Happy Ever Afters (2009)	Comedy	5.6
448	Angadi Theru (2010)	Drama	7.6
449	Tengo ganas de ti (2012)	Drama, Romance	7
450	The U.S. vs. John Lennon (2006)	Biography, Documentary, Music	7.4
451	To nie tak jak myslisz, kotku (2008)	NO DATA	NO DATA
452	Balls to the Wall (2011)	Comedy	3.7
453	Beyond the Trophy (2012)	Action, Crime, Drama	5.1
454	Judas Kiss (1999)	Crime, Drama, Thriller	6.4
455	How's It Going to End? The Making of 'The Truman Show' (2005)	Documentary, Short	6.8
456	Maaro (2011)	Action	4.5
457	Le dernier vol (2009)	Adventure, Drama, Romance	5.6
458	Pappu (2010)	NO DATA	NO DATA
459	SpyTek (1998)	Documentary, History	8.3
460	Moon to (2007)	Crime, Drama, Thriller	7.3
461	Wakolda (2014)	Drama, History, Thriller	6.8
